571344	1080336	706607	761561	818834	736578	1047705	1063070	974085	1057885	960326	995963	1001783	969386	1217645	969539	1076565	1049997	1137619	1022763;
329294	371878	340332	397879	443109	353080	414013	437708	397275	495298	538380	436294	500722	511463	440074	597837	450653	454237	488265	427111;
198371	264677	363548	491418	308235	325383	307893	379832	335254	357913	341241	347251	347498	316066	376209	302744	328096	291882	317473	375875;
217539	185805	179482	231183	207370	229141	229840	232518	196455	291591	215836	256771	196894	267098	205156	245071	217864	254517	215697	222614;
172857	129151	129880	150036	176968	163069	171333	248645	168077	190390	152240	228915	184362	160607	166081	207944	190653	220322	246513	212777;
119048	152473	134848	122879	129291	112450	128466	144479	160793	137695	147945	146653	220518	142940	151169	157996	155533	207056	143950	173390;
107110	103382	135352	99733	129427	136961	125448	119737	142821	161456	133398	144386	119471	134917	150187	114806	177035	125833	124210	129277;
79884	81089	90294	114000	132559	100294	101535	112210	107587	94758	148486	112453	162695	113709	124935	113227	114645	149735	128904	122468;
89102	73485	126003	98822	107279	83237	104849	87754	135633	118868	99891	107560	104704	148975	124703	121045	125009	112341	99783	121288;
59687	60346	95833	71348	91590	85187	79639	91203	96215	98708	93246	90590	89768	99553	97002	92638	133968	101769	119931	101237;
52049	62898	105745	96316	80892	91005	75859	74156	99606	79283	96848	86229	114381	88581	99977	76137	103755	102865	75894	85865;
47787	58460	71392	65946	63987	69730	61255	70676	77808	66464	68934	67839	63612	86387	70258	97150	98552	91106	85387	83916;
56115	59667	57570	86634	58675	85502	58901	93782	53549	66951	76634	75701	84204	72047	63459	70158	71455	80030	67831	80560;
41051	62098	55994	69397	58469	59198	80732	60446	76454	58862	55489	54562	74340	68604	52177	74767	68585	102438	59580	69054;
36318	44354	63464	46666	54797	61825	57872	57982	61914	70996	67160	69580	68767	56366	59527	76615	84530	68776	72125	66423;
48175	44116	52401	64152	59374	53365	55842	54126	58182	59991	50171	54393	66629	71899	59647	62739	68996	59324	68062	70310;
